label,x,y,text,id,position,width,distance
Net credited,2816.0,2066.0,LIBANO-FRANCAISE,7,7,567.0,1048.0462776041904
Net credited,417.0,2220.0,Stamp duty paid in cash,7,6,856.0,1713.3388456461262
Net credited,421.0,2220.0,Stamp,7,6,176.0,1709.7467648748454
Net credited,623.0,2220.0,duty,7,6,150.0,1530.9794250740276
Net credited,803.0,2221.0,paid,7,6,159.0,1377.6519879853547
Net credited,1110.0,2223.0,cash,7,6,158.0,1134.5712846709985
Net credited,2566.0,2214.0,Branch MAZRAAT YACHOUH,7,7,799.0,964.4215883108383
Net credited,2820.0,2207.0,MAZRAAT,7,7,256.0,1137.5834035357584
Net credited,3113.0,2197.0,YACHOUH,7,7,241.0,1368.045686371621
Date,1127.0,627.0,15/04/21 11:47,1,1,508.0,1593.6630760609346
Credit value date,3032.0,1529.0,19/04/2021,8,4,330.0,1071.0116712716067
Exchange rate,3033.0,1084.0,"2,040,000",9,2,306.0,1193.760863824912
Exchange rate,3309.0,1155.0,0,9,2,37.0,1423.6642862697652
Exchange rate,3217.0,1215.0,0.66,9,2,137.0,1317.7996812869549
Exchange rate,3090.0,1339.0,"1,342.11",9,2,265.0,1162.898533836895
Exchange rate,3097.0,1466.0,"1,341.45",9,2,261.0,1147.965591818849
Exchange rate,2917.0,1597.0,"1,520.0000000",9,4,448.0,960.0083332971647
Narrative,1882.0,335.0,F,10,2,87.0,2069.8031307349015
Narrative,1996.0,400.0,LIBANO-FRANÇAISE,10,2,678.0,2107.021119970087
Narrative,1127.0,627.0,15/04/21 11:47,10,2,508.0,1374.1295426560046
Narrative,1128.0,628.0,15/04/21,10,2,285.0,1373.7721790748276
Narrative,1449.0,628.0,11:47,10,2,187.0,1560.9231243081767
Narrative,488.0,712.0,Credit advice,10,0,453.0,1102.372895167511
Narrative,490.0,714.0,Credit,10,0,197.0,1100.477169231602
Narrative,724.0,706.0,advice,10,2,208.0,1144.6091035807815
Narrative,486.0,769.0,Cash deposit,10,0,413.0,1045.3444408423475
Narrative,486.0,771.0,Cash,10,0,128.0,1043.34701801462
Narrative,646.0,770.0,deposit,10,2,250.0,1064.5271250653973
Narrative,1359.0,944.0,6-001-840-JDE,10,2,466.0,1269.8964524716177
Narrative,2692.0,1084.0,LBP,10,2,104.0,2373.714810165703
Narrative,3033.0,1084.0,"2,040,000",10,2,306.0,2700.2668386661344
Narrative,2694.0,1150.0,USD,10,2,108.0,2356.202453101176
Narrative,3309.0,1155.0,0,10,2,37.0,2950.3118479238765
Narrative,2687.0,1209.0,USD,10,2,120.0,2333.523516058923
Narrative,3217.0,1215.0,0.66,10,2,137.0,2847.5006584722682
Narrative,2630.0,1340.0,USD,10,2,176.0,2247.340205665355
Narrative,3090.0,1339.0,"1,342.11",10,2,265.0,2698.948869467519
Narrative,3830.0,1306.0,A,10,2,-148.0,3434.6263261088534
Narrative,2696.0,1470.0,USD,10,2,118.0,2288.846434341981
Narrative,3097.0,1466.0,"1,341.45",10,2,261.0,2686.5042341302947
Narrative,3032.0,1529.0,19/04/2021,10,2,330.0,2614.4706921287147
Narrative,2917.0,1597.0,"1,520.0000000",10,2,448.0,2493.3736182128823
Narrative,429.0,1745.0,Ordering customer :,10,0,701.0,68.11754546370561
Narrative,429.0,1746.0,Ordering,10,0,284.0,67.11929677819934
Narrative,747.0,1746.0,customer,10,2,300.0,321.06852851065923
Narrative,1092.0,1810.0,regl pdld,10,4,425.0,659.0068284926948
Narrative,1162.0,1811.0,regl,10,4,150.0,729.0027434790626
Narrative,1347.0,1808.0,pdld,10,4,155.0,914.0136760464802
Narrative,2865.0,1760.0,REÇU,10,4,206.0,2432.577439671757
Narrative,2661.0,1875.0,ANQUE LIBANO-FRANÇAISE S.A.L,10,7,609.0,2228.862490150525
Narrative,2671.0,1878.0,ANQUE,10,7,128.0,2238.943724169949
Narrative,2809.0,1860.0,LIBANO-FRANÇAISE,10,4,356.0,2376.4648114373585
Narrative,3175.0,1806.0,S.A.L,10,4,93.0,2742.0089350693224
Narrative,2844.0,1984.0,15 APR 2021,10,7,295.0,2417.056474309196
Narrative,2845.0,1984.0,15,10,7,69.0,2418.0539696210258
Narrative,2929.0,1976.0,APR,10,7,91.0,2501.3166532848254
Narrative,3035.0,1964.0,2021,10,7,102.0,2606.3777546625893
Narrative,424.0,2082.0,Reference : TT/21105/,10,5,772.0,269.15051551130273
Narrative,850.0,2083.0,TT/21105/,10,7,345.0,496.7786227284745
Narrative,2569.0,2069.0,BANQUE LIBANO-FRANCAISE,10,7,821.0,2151.2861269482496
Narrative,2816.0,2066.0,LIBANO-FRANCAISE,10,7,567.0,2396.392705714153
